monthyear,warrantsPDF,warrantsSite,warrants,executed,filingsPDF,filingsSite,filings
2017/01,9744,,9744,1879,19178,,19178
2017/02,8001,,8001,1442,19369,,19369
2017/03,10818,,10818,1735,20252,,20252
2017/04,8108,,8108,1569,15871,,15871
2017/05,8964,,8964,1765,18478,,18478
2017/06,8599,,8599,1677,17645,,17645
2017/07,8824,,8824,1429,18676,,18676
2017/08,9152,,9152,1741,20898,,20898
2017/09,8776,,8776,1556,18462,,18462
2017/10,9361,,9361,1706,20019,,20019
2017/11,7085,,7085,1506,19276,,19276
2017/12,8717,,8717,1129,18750,,18750
2018/01,8986,,8986,1910,20848,,20848
2018/02,9376,,9376,1518,18056,,18056
2018/03,9556,,9556,1624,18492,,18492
2018/04,8778,,8778,1654,16025,,16025
2018/05,7796,,7796,1799,16270,,16270
2018/06,7644,,7644,1590,17624,,17624
2018/07,7161,,7161,1582,18229,,18229
2018/08,7560,,7560,1666,20447,,20447
2018/09,6587,,6587,1327,15719,,15719
2018/10,8671,,8671,1493,20971,,20971
2018/11,7105,,7105,1241,18772,,18772
2018/12,7236,,7236,979,17099,,17099
2019/01,8649,8649,8649,1704,20020,20020,20020
2019/02,6928,6928,6928,1403,17054,17054,17054
2019/03,8102,8102,8102,1422,16457,16457,16457
2019/04,7534,7534,7534,1456,16888,16888,16888
2019/05,7833,7833,7833,1489,17401,17401,17401
2019/06,6920,6920,6920,1330,12553,12553,12553
2019/07,5909,5909,5909,1375,6938,6938,6938
2019/08,5812,5812,5812,1287,11672,11672,11672
2019/09,4738,4738,4738,1184,12534,12534,12534
2019/10,5481,5481,5481,1164,13721,13721,13721
2019/11,4932,4932,4932,943,12826,12826,12826
2019/12,5591,5591,5591,786,13469,13469,13469
2020/01,5741,5741,5741,1302,14565,14564,14564
2020/02,5416,5415,5415,961,13313,13313,13313
2020/03,3679,3678,3678,490,9055,9055,9055
2020/04,0,0,0,0,4,4,4
2020/05,1,1,1,0,4,4,4
2020/06,7,7,7,0,10,10,10
2020/07,1,1,1,0,1904,1904,1904
2020/08,2,2,2,0,5740,5740,5740
2020/09,6,6,6,0,7150,7150,7150
2020/10,4,4,4,0,8120,8120,8120
2020/11,42,42,42,3,7524,7524,7524
2020/12,89,89,89,5,7644,7644,7644
2021/01,0,0,0,0,440,440,440
2021/02,6,6,6,0,1371,1371,1371
2021/03,1,1,1,0,3404,3404,3404
2021/04,25,25,25,3,4946,4947,4947
2021/05,34,34,34,5,5178,5177,5177
2021/06,66,66,66,6,5026,5026,5026
2021/07,73,73,73,27,3981,3981,3981
2021/08,143,142,142,30,4301,4300,4300
2021/09,34,34,34,8,2326,2326,2326
2021/10,86,86,86,10,3329,3330,3330
2021/11,128,128,128,22,3826,3822,3822
2021/12,223,223,223,21,3982,3985,3985
2022/01,263,263,263,94,5502,5503,5503
2022/02,285,285,285,134,6391,6392,6392
2022/03,611,611,611,198,9013,9017,9017
2022/04,712,711,711,220,8985,8987,8987
2022/05,718,718,718,290,9312,9364,9364
2022/06,896,895,895,297,4888,8605,8605
2022/07,,707,707,295,,5336,5336